bug_id,summary
1757056,Ignore file patterns diff option does not work for untracked files
1757009,Unable to remove submodules that located at folder which contains space
1756796,SourceTree doesn't list local branches with underscore '_' as Tracked 
1756847,"An """"Open Termial"""" button fails for git bash [git-scm 2.31.1]"
1754501,"Sourcetree sees changes after fresh """"git clone"""" on WSL"
1754003,Global Author details do not update after closing Options
1753530,"After changing Bitbucket password, Source tree is no longer syncs with remote branch. "
1744092,3.4.3 Won't Install
1753064,"Files disappear in """"staged files"""""
1752675,Staging files deletes them instead if main working tree is not in default location.
1747580,  Registration form: unclear error message when registrted new user
1738272,Application crashes when...
1752674,SourceTree crashes on startup for multi-user / RDP environments
1750990,SourceTree not working
1751607,Opening and closing Sourcetree causes Pageant to crash/close
1750240,make branch first time not show
1750632,Squashing With Previous ignores the last item in the list
1749510,sakila
1749414,Pending filter in File Status view does not show newly added and modified files
1748013,Invalid Username & Password error while pull or push on the source tree
1696674,Sourcetree rebase interactive is broken in 3.4.0
1747292,Cannot push with force 
1742555,ssl cerficate
1726462,Failed stage lines
1741794,Cannot open a terminal when system git is enabled
1682518,Same name of repos
1740957,Remote branch name resets to empty string when select for pushing the first time
1726451,Cannot unstage hunk
1740777,Github Login required despite no repository or login of github used!
1740524,Sourcetree erroneously closing pageant on exit
1739175,Terminal no longer opens
1738147,Embedded PuTTY replaces running instance of PuTTY
1737590,cannot resolve conflicts on changed files with removed files from master branch
1702738,Changing the remote repository path of project causes SourceTree to crash
1717278,100% Disk usage
1737043,Sourcetree on exit terminates pageant process while it should not
1736869,Git Bash cannot be opened anymore with Git 2.31
1735836,Can't find correct git.exe path
1719263,Remote not detected after username & password keyed in
1735131,External merge does not work in windows sourcetree
1726709,RepoHandlerGitOld.NeedsLargeFilesPull incorrectly returning true for files reported unchanged by LFS
1653029,"The tab name for the cloned repository overruns the close, 'x', button."
1726623,Impossible to access to the Remote Account page
1720298,Sourcetree closes on Cancelling the checking out branch from browser
1632226,Scrolling block
1724906,Application crashed while selecting files to stage
1722637,Sourcetree shuts down foreign pageant process
1724779,Cannot browse/switch to system mercurial
1721118,SourceTree Crashes if launched by a non-admin while another user is running PAgent
1718756,Subwindow drap and drop can not be dropped at any position in File Status and History tab for notebook screen proportion
1702627,Unable to create pull request
1720533,Unable to checkout to a local branch. 
1723225,RCE via git-lfs in Sourcetree for Windows - CVE-2021-21237
1722387,spell check of commit messages does not work
1721095,Sourcetree closes pageant on exit even if it hadn't been started by Sourcetree.
1696699,Interactive rebase show an empty GUI 
1716815,3.4.3-beta-1 issues
310663,Changing the remote repository path of project causes SourceTree to crash
1716245,Code selection copy in Commit history view makes app unresponsive
1715147,Intermitent GitHub/GitLab login window is shown
1714554,Launch SSH Agent should display correct state
1714552,Sourcetree freezing on being left in background  
1697122,Dark mode still have some popup menu in Light background causing the text to be invisible
1689968,Пролонгация сертификата на портале
1714403,v3.8.8 - Local repository list freezes when scrolling is needed
1714056,Optional extended integration settings of remote are not saved across SourceTree restarts
1714128,Application get crashed while clicking on edit button in remote settings 
1713358,Buffer overflow with git shell 
1711292,'git lfs pull' called everytime when starting Sourcetree or opening a repository in a tab
1713119,Unable to create pull request
1712370,Cannot fetch or pull on Sourcetree for windows
1711654,checkout-existing” option isn’t working with 3.3.9 version of sourcetree as the remote repository details are not being fetched.
1711540,Can't create a pull request
1711487,Different branch folders are merged anyway
1711155,SourceTree insists handling a specific repo
1708468,Custom action parameter $BRANCH not always properly replaced
1710826,"SourceTree disappears when using """"Checkout in Sourcetree"""" link from Bitbucket"
1710153,Not able to clone repos from bit bucket using source tree
1709448,"""""Run 'git lfs pull' now? is triggered on every startup"
1707128,Unable to clone a repository
1705917,"Launching SourceTree getting""""Run  'git lfs pull' now"""" prompt"
1704384,SourceTree Returns Incomplete & Inaccurate List of Repositories from Bitbucket Server
1703782,Sourcetree asks to select a Credential Helper and doesn't clone
1703457,Prompted to download GIT LFS everytime I open SourceTree 3.4.2
1703738,Sourcetree crashes upon cloning a repository
1703469,External difftool extremely slow
1618502,I am not able to sourcetree with my repository(Azure) 
1702925,LFS file download prompt every time I launch Sourcetree since update to v3.4.2
1702398,Troubles accessing REMOTES/origin
1701239,git-svn support does not work
1700596,Rebase children of <commit> interactively... no longer works as before
1697214,Sourcetree v3.4.0 interactive rebase window is empty
1700358,RCE via git-lfs in Sourcetree for Windows - CVE-2020-27955
1699356,Unable to create pull request on bitbucket server 
1698758,Remote project configuration error when creating a Pull Request after starting app
1681108,Modificar Medico
1698793,Problems with Bitbucket Server Integration in Sourcetree Enterprise
1698742,Unable to Open Web Browser Error Message
1697749,`.git` folder DELETED on crash
1697266,Interactive rebase fails
1695452,Unable to retry auth after bad password entry (LFS?)
1691550,Source tree 3.3.8  massive performance issue
1693598,Automatic refresh cannot be disabled
1692365,Can't clone repository on Windows
1694103,Sourcetree keeps crashing on Windows
1688678,Sourcetree crashes on launch 99% of the time
1693663,File Contents of renamed files only shows new file in Diff Against Current
1692959,SourceTree doesn't remember Remote project configuration after restart
1692719,Freeze/hang when scrolling file diff
1691639,PATH environment setting is not working from the Bash console opened by the Terminal menu
1689913,Cannot pull changes 
1689695,When looking closer at the available seats the screen may stop scrolling in the expected way
1688513,Can't login to bitbucket so I can't use the software
1688797,"Git - Enabling """"Push all tags to remotes"""" will cause Push to never finish"
1687866,'Keep staged changes' checkbox doesn't work when stashing changes
1687455,crash
1687376,Pull requests are not shown for packages. Source Tree Windows Version
1687017,External diff on logged file opens diff for selected file in repo
1686186,Global ignore file not working on Windows 10
1683100,Continue rebase fails
1682805,config file sourcetreeconfig.json is reset after each start of sourcetree
1476199,Staged files view does not update after adding files
1681106,Crear medico
1653817,GitHub repositories are not showing in Remote repositories
1641079,Sourcetree auto suspend on Windows 10
1681168,Whenever I start Sourcetree I get a tiny Pageant credentials dialog
1677414,Source Tree unable to recognize deleted Brunches by other tool
1676499,New files only shown when unstaged set to Clean or All
1673893,It will always add user document to tab when open the process
1675740,Sourcetree hangs when I mousewheel on the diff. area on the bottom right corner
1675734,Typo in German translation for pulling a branch
1675717,cant add more than one Azure devops account from 2 different emails/users - wrong user is sent through
1473832,Stages and Unstaged files area is not getting updated/refreshed
1639749,Crash when closing Options dialog
1653833,GitHub repositories are not showing in Remote repositories
1670962,SourceTree starts then Closes - even after uninstal and remove local appdata - where is the list of connections its is trying
1474246,Link to latest Windows version is broken on Atlassian site
1560635,"SourceTree is not able to pull/push branches with / in the name, e.g. release/2020.05"
1617941,SourceTree freezes when scrolling down
1669989,SourceTree crashes after checkout of a BitBucket Repo in SourceTree
1667116,Tags that contain commas are cut off in the Sourcetree History View
1666544,Subtree Dissappears from Stash after Reopening Sourcetree
1662749,Error message for failing conenction does not have enough info
1633228,commit time in 24h format
1660003,Wrong link on report a bug form
1665605,Remote repositories search can't find some repos
1663401,Sourcetree is freesing on large binary files
1660942,If I upload new application version to the server there is an error
1660008,Differing behavior - launching terminal
1185767,Drag/drop of local repositories does not work correctly
1622465,We need an offline Installer
1472583,SourceTree: Commit screen is not refreshing as it was always do!
1468727,Crash on checking out branch from browser
1657261,Repository settings in optional extended integration with e.g. Bitbucket Server are not persisted
1466783,Source v3.3.6 Refresh Issue
1656837,Open remote - URL customization
1652513,Source tree Version 3.3.6 on Windows 10 Professional hangs
1656006,Crash on Edit Remote
1651199,index.lock error when Visual Studio is opened
1638595,Unable to resolve conflicts using source tree v3.3.9
1648950,Git tutorial bug
1646970,Sourcetree keeps asking for password for bitbucket.org
1646163,SourceTree crashes every time I try to do a Checkout from Bitbucket
1639616,Wrong items is suggested for deletion
1636795,Scrolling to bottom of file content pane freezes program
1633248,Unable to open Kdiff3 external tool to resolve conflicts
1632674,Modal window for Create Patch not usable on smaller screens
1632565,3.3.9.3870 version crash sometime when trying to open a Repository  from local repositories
1631444,Line not fully visible in diff
1630963,SourceTree 3.3.9 Windows Hangs
1628869,Big problems with high refresh rate monitors
1628540,Accessing Remote Account closes Sourcetree
1473836,Auto Refresh stopped working
1627730,Setting lost in repository settings dialog.
1624538,"Push Changes immediately to field frequently becomes """"-"""""
1622974,Calendar disappears while scrolling the page up or down continuously 
1622062,Push ignores local branches that don't match a remote tracking branch
1621675,Sourcetree crashes when remote repository is not available
1619454,Popup window position
1618047,Sourcetree deletes file if I do stage
1616789,Popups flashes periodically with no contents
1615241,Git submodules vulnerability in Sourcetree for Windows - CVE-2020-5260
1608841,Cannot Launch Sourcetree
1611390,Pushing a new branch gives a false eror messag about git ref-format rules
1585229,Can't use authentication options
1609318,Unable to clone remote repository
1607516,Rebase children of <commit> interactively... doesn't work(Cyrillic letters in the path)
1604032,"Баг в приложении """"Украинская железная дорога"""""
1555539,Cannot register to SourceTree using my corporate account
1603967,"Authorization in the user's account is not possible through the social network """"facebook"""""
1600790,Can't push
1603624,Remote local branch is not shown in push menu when more than 2 remotes
1602300,Sourcetree registration fails
1533321,Repositories not visible
1601186,Remote Github repository search does not work
1600392,Sourcetree - Aplicación se cae tras iniciar
1600734,Sourcetree crashes after switching to Remote tab
1588551,Cannot install Sourcetree for Windows v.2.4.8.0 on Windows 8
1599661,Site performance is very low because image are large
1599659,Site performance is very low because scripts are in the head of the site
1599456,ssh agent overloading cpu
1585081,Galaxy S7 - Envato Elements (Music tracks section) - Wrong translation (russian language)
1561629,Force push crashes
1597409,Staging in a shared submodule leads to deletion of files
1595049,Unable to login Source Tree
1593814,Sourcetree fails to install or open. 
1592651,Custom actions not working
1592805,Can't push branch to Azure Git
1591764,I cannot log in to my Repository in Source Tree after Creating App password
1473862,Auto refreshing no longer works
1591483,"""""Check out in Sourctree"""" always tries to clone new and complains about missing details."
1591480,"Sourctree closes after """"Checkout in Sourctree"""" button was used in BitBucket."
1590047,Problem when trying setup sourcetree
1589384,Remote details in a github repository settings don't get saved
1587685,Authentication not working
1584814,Add an Account in Remote Tab Opens Edit Hosting Account Window with Username in Ready Only
1584384,Unable to open Web Browser Message
1578758,"Unable to pull the new updates from the branch""""failed to aunthenticate"""""
1564819,Crashes happen every now and then
1574741,Can't rearrange bookmarks
1545448,dark theme=> to be improved
1574162,File status not updated automatically anymore
1574007,Bug / Bad design: Why are branches not created?
1571433,Failed Authentication after account setup
1551295,Can't assign keystroke to custom actions in 3.3.8
1564984,Multiple Failed Authentication causes lockout
1561659,Search does not work with huge repo
1563483,Repository is not opened if a tab with another repository having the same name already exists
1563359,Timezones not used to display local time in commit summary
1559949,SourceTree locks corporate Atlassian account when trying to clone repository from Bitbucket.
1558556,SourceTree wrong focus after seeing console output
1554797,Show remote branches renamed on checkout in push window.
1551734,Source Tree Crash when add a new github account 
1548734,Global Ignore List does not work.
1545264,Sourcetree Commit is Not Responding 
1542639,"In history view, move the current branch so that it is at the top"
1542396,Authentication failure - Keeps attempting to authenticate on single request.
1542006,"sourcetree intallation stuck at """"Authentication Successful"""""
1538959,Allowed to commit/push with unresolved conflict
1537258,No access to taskbar in full windowed mode
1526807,https://bitbucket.org/aiqbankinc/tht-so-inc/raw/cdfd00c1dc80080926954fa09e506a711ac6698c/README.md
1536465,Cannot install
1536351,File Status - Tree View - Sort order lost on refresh
1534037,Creating new branch does not create branch on remote
1532134,Bad design: Uncommitted changes appear for no reason
1513360,Remote Repos Filter not working
1528684,Remove repositories dialog accumulates repository names incorrectly
1531893,"Folders not properly posted, new scripts not consistently detected"
1457371,How to set the font and font size of the submitted text box? Chinese fonts look uncomfortable
1530126,Failed to check Login for user
1529831,adding helperselector to config
1529481,REGRESSION: Cannot create patch from working copy
1525695,Remote Exclamation Mark although PULL and PUSH work
1494219,Consume CPU More then 80%
1517938,Sourcetree crashes when checking out branch in browser.
1521868,Diff/Merge Fails with Beyond Compare 4
1499099,Unable to use Sourcetree and downlod repository on second machine
1520177,Authentication failed on BitBucket account in sourcetree
1515643,SourceTree does not appear in Win10 Start Menu
1514511,Sourcetree v3.3.8 is forgetting extended integration settings
1512601,Opening a saved repository from context menu opens a different repository
1511610,When sourcetree is maximised it interferes with the taskbar  
1511255,Can't install sourcetree 3.3.8 on Win 7 64 bit and Win 10 64 bit
1503579,Severe performance problem trying to review changes in text file with extension .xml
1510788,Each restart of sourcetree resets the account in repository settings
1510686,"After staging, close button does not respont to enter key"
1503848,Unable to Start SourceTree
1509842,incorrect recording when rotating the screen
1509950,Bookmarks regularly lost
1508806,Sourcetree v3.3.8 issue while check-out and cloning
1508168,"Display problems of """"unusual"""" characters in main window diff pane"
1505804,"Cannot get past """"Registration"""" step of installer"
1508149,Checking out a branch from Bitbucket Cloud UI will freeze SourceTree WIN 3.3.8
1503234,Instalation failure
1502264,Unable to save sourcetree to computer
1502248,Optional extended integration settings disappear on restart of SourceTree
1501482,Cannot Load TimeZoneConverter when Linking Bitbucket Account
1501595,"Open Selected Version does nothing, even though extension is registered with Windows"
1501393,Source tree wrongly includes files when deleting file in unstaged files region
1499257,When click in Bitbucket login open an Localhost URL
1500505,Open console button doesn't work
1499808,Failure to install and also failure to set install location
1497870,"Cannot push branch other than """"master"""""
1497697,Unable to login when installing
1496315,Diff not working on UTF-16 LE files without BOM
1494074,Clone Remote Repositories against Bitbucket Server does not find repos in projects whose name beings with period
1487867,Not able to install sourcetree in my windows
1493624,Newer Sourcetree versions use different API when gathering remote repositories from BitBucket Server
1491338,Failed to force push 
1491305,Git branch history does not update unless forced
1489441,UI does not reflect current branch after changing
1489208,stage and unstage not moving file to respective block
1489367,Cant open two tabs with same name in different repositories
1487285,Error in max allowed humidity percentage
1489041,Sourcetree 3.3.8 doesn't install
1484251,Cannot install - Authentication Successful - No next button
1473915,When I stage files the windowd does not get updated
1488355,"Diff isn't showing tabs correctly if """"show invisibles"""" is enabled"
1487470,Version 3.3.7 for Windows forced to refresh for every action
1487320,Error in the input field when the humidity indicator is from 50 to 100%
1486407,Unstaged file shows 2 extensions
1486656,Windows Defender SmartScreen prevented an unrecognized app from starting
1485615,Automatic refresh breaks on the first repository tab
1486290,"Log selected does not popup window but opens in background, seems not working."
1484269,Not detecting the SSH keys and the application closes abruptly
1469668,Sourcetree doesn't automatically refresh screen
1486233,When using Submodules the main repository view is not updated automatically
1485573,Sourcetree switches back to Generic Account on optional extended integration
1484844,"Sourcetree GUI does not keep sync with staging, commits, branches, merges"
